"NumerodoAluno";"SIUPTAnoLetivo";"kMotivoDeAnulacaoSuspens";"Resultado";"snome";"estado";"TextoRequerimento";"tamanho";"Inicio";"Filtro_A";"filtro_B";"Categoria"
"39130";"2017/2018";"NULL";"NULL";"NULL";"Cancelado";"A ATT. EXMA. DIRECAO MOTIVO: VENHO SOLICITAR O FAVOR DE ME ANULAREM A MATRICULA PELOS SEGUINTES MOTIVOS: - NAO ME SINTO MINIMAMENTE VOCACIONADA PARA CONTINUAR A ESTUDAR.SINTO-ME COMPLETAMENTE DESMOTIVADA.  - ESTOU A PROCURAR EMPREGO PARA COMECAR A TRABALHAR. - A MINHA FAMILIA ESTA A LIDAR COM PROBLEMAS FINANCEIROS, POIS A MINHA MAE ESTA COM REDUCAO DE HORARIO DE TRABALHO E EM GRANDE RISCO DE FICAR DESEMPREGADA DENTRO DE 2/3 MESES. PECO A V/COMPREENSAO E A MELHOR ATENCAO PARA O ASSUNTO. - JA NAO QUERO TER DE PAGAR A PROXIMA PROPINA (MAIO) MUITO OBRIGADO";"0";"À ATT. EXMA. DIREÇÃO Motivo";"A";"Motivo financeiro";"MOTIVOS FINANCEIROS"
"36673";"2017/2018";"NULL";"Deferido";"NULL";"Despachado";"PEDIDO DE ANULACAO DE MATRICULA MOTIVO: PEDRO GONCALVES, ESTUDANTE COM O N.º 36673, INSCRITO EM 2017/2018 NO CURSO DA LICENCIATURA DE DIREITO, VEM PELO PRESENTE REQUERER A DESISTENCIA COM EFEITOS IMEDIATOS, DEVIDO A MOTIVOS FAMILIARES. PEDE DEFERIMENTO,";"0";"Pedido de Anulação de Matrícula Motivo";"PEDIDO";"Motivação Pessoal";"MOTIVACAO PESSOAL"
"39602";"2017/2018";"NULL";"Deferido";"NULL";"Despachado";"ANULACAO DA MATRICULA MOTIVO: DANIELA MOURA COSTA, ESTUDANTE COM O N.º 39602, INSCRITO NO SEGUNDO SEMESTRE DO ANO LETIVO DE 2017/2018 NO CURSO DA LICENCIATURA DE DIREITO, VEM PELO PRESENTE REQUERER A DESISTENCIA COM EFEITOS IMEDIATOS, DEVIDO A MOTIVOS FAMILIARES. PEDE DEFERIMENTO,";"0";"Anulação da matrícula Motivo";"ANULACAO";"Motivação Pessoal";"MOTIVACAO PESSOAL"
"39602";"2017/2018";"NULL";"NULL";"NULL";"Cancelado";"ANULACAO DA MATRICULA MOTIVO: DANIELA MOURA COSTA, ESTUDANTE COM O N.º 39602, INSCRITO NO SEGUNDO SEMESTRE DO ANO LETIVO DE 2017/2018 NO CURSO DA LICENCIATURA DE DIREITO, VEM PELO PRESENTE REQUERER A DESISTENCIA COM EFEITOS IMEDIATOS, DEVIDO A MOTIVOS FAMILIARES. PEDE DEFERIMENTO,";"0";"Anulação da matrícula Motivo";"ANULACAO";"Motivação Pessoal";"MOTIVACAO PESSOAL"
"39431";"2017/2018";"NULL";"Deferido";"NULL";"Despachado";"CANCELAMENTO DA INSCRICAO MESTRADO MOTIVO: BOA NOITE, INGRESSEI PELA PRIMEIRA VEZ NA UNIVERSIDADE PORTUCALENSE COMO ALUNO EXTERNO NO MESTRADO EM GESTAO, UMA VEZ QUE AINDA NAO TINHA CONCLUIDO A LICENCIATURA E IRIA TER DE INTERROMPER NO FINAL DO 1º ANO CURRICULAR. NO ENTANTO COMO E DO V/ CONHECIMENTO, AS LEIS ALTERARAM INESPERADAMENTE A MEIO DO ANO, E JA SO PODERIA FAZER UM MAXIMO DE 30 CREDITOS, PELO QUE FUI OBRIGADO A ABANDONAR O MESTRADO E INSCREVER-ME NA LICENCIATURA EM GSI. POSTO ISTO, PECO QUE SEJA CANCELADA A MINHA INSCRICAO NO MESTRADO, POIS AINDA ESTA ATIVA. OBRIGADO";"0";"Cancelamento da inscrição Mestrado Motivo";"CANCELAMENTO";"Aluno externo";"ALUNO EXTERNO"
"39479";"2017/2018";"NULL";"Deferido";"NULL";"Despachado";"ANULACAO MOTIVO: VENHO POR ESTE MEIO SOLICITAR A ANULACAO DA MATRICULA DO PRESENTE ANO";"0";"Anulação Motivo";"ANULACAO";"Motivação Pessoal";"MOTIVACAO PESSOAL"
"38743";"2017/2018";"NULL";"Deferido";"NULL";"Despachado";"PEDIDO DE ANULACAO DE MATRICULA MOTIVO: VENHO POR ESTE MEIO SOLICITAR A ANULACAO DA MATRICULA DEVIDO A ME ENCONTRAR NESTE MOMENTO COM DIFIULDADES ECONOMICAS, TENDO DE INGRESSAR DE MOMENTO EM ATIVIDADE LABORAL. AGUARDO UMA RESPOSTA O MAIS BREVE POSSIVEL.";"0";"Pedido de anulação de matricula Motivo";"PEDIDO";"Motivo financeiro";"MOTIVOS FINANCEIROS"
"38321";"2017/2018";"NULL";"Deferido";"NULL";"Despachado";"ANULACAO DA MATRICULA MOTIVO: NAO SE CONSEGUIU ADAPTAR. TENDO VOLTADO PARA ANGOLA.";"0";"Anulação da matricula Motivo";"ANULACAO";"Adaptação";"MOTIVACAO PESSOAL"
"38044";"2017/2018";"NULL";"Deferido";"NULL";"Despachado";"ANULACAO DA MATRICULA MOTIVO: BOM DIA,  PRETENDO ANULAR A MATRICULA UMA VEZ QUE EM JUNHO VOU REALIZAR O EXAME NACIONAL DE PORTUGUES, POR AINDA SER ALUNA EXTERNA NA INSTITUICAO.  COM OS MELHORES CUMPRIMENTOS, MARIANA CARVALHO";"0";"Anulação da matrícula Motivo";"ANULACAO";"Aluno externo";"ALUNO EXTERNO"
"39496";"2017/2018";"NULL";"Deferido";"NULL";"Despachado";"ANULACAO DA MATRICULA MOTIVO: BOM DIA, VERA DA SILVA BASTO (Nº 39496), ALUNA DO ENCARREGADO DE EDUCACAO LUISA PAULA SOARES DA SILVA BASTO, O 1º ANO DO DA TURMA DE RI, VENHO REQUERER A V.EX. ANULACAO DA MATRICULA NA UPT NO CURSO DE RI, POIS POR MOTIVOS PESSOAIS E IMPOSSIVEL COMPARECER AS AULAS E ASSIM CONSEGUIR TERMINAR O CURSO. ATENCIOSAMENTE  VERA BASTO";"0";"Anulação da matricula Motivo";"ANULACAO";"Motivação Pessoal";"MOTIVACAO PESSOAL"
"43085";"2020/2021";"NULL";"Deferido";"NULL";"Despachado";"URGENTE - ANULACAO DE MATRICULA ALUNA 43085 MOTIVO: VENHO POR ESTE MEIO SOLICITAR A ANULACAO DA MINHA INSCRICAO NO 1º ANO DA LICENCIATURA EM SOLICITADORIA. COM A INTEGRACAO DO ENSINO SUPERIOR DEPAREI-ME COM ALGUMAS FRAGILIDADES QUE DE MOMENTO IMPEDEM A MINHA CONTINUIDADE NOS ESTUDOS, PELO QUE PRETENDO INGRESSAR DE IMEDIATO NO MERCADO DE TRABALHO. AGRADECO DESDE JA A VOSSA COMPREENSAO E A ACEITACAO DA ANULACAO DA MINHA INSCRICAO. OS MELHORES CUMPRIMENTOS, SARA ARAUJO";"0";"Urgente - Anulação de Matricula aluna 43085 Motivo";"URGENTE";"Trabalho";"INCOMPATIBILIDADE COM ATIVIDADE PROFISSIONAL"
"41560";"2020/2021";"NULL";"Deferido";"NULL";"Despachado";"ANULACAO DE MATRICULA MOTIVO: O MOTIVO PELO QUAL EU PECO ANULACAO DA MATRICULA E PORQUE NESTE MOMENTO NAO ME ENCONTRO EM CONDICOES PSICOLOGICAS PARA PROSSEGUIR COM OS ESTUDOS. TENHO UM ATESTADO PSIQUIATRICO DE QUE NAO ESTOU POSSIBILITADA DE CONTINUAR NA FACULDADE PELO MENOS DURANTE 1 ANO. GOSTARIA DE SABER COMO VAI OCORRER O PROCEDIMENTO. MUITO OBRIGADA, CONTINUACAO.";"0";"Anulação de matricula Motivo";"ANULACAO";"Saúde";"MOTIVOS DE SAUDE"
"41606";"2020/2021";"NULL";"Deferido";"NULL";"Despachado";"ANULACAO DA MATRICULA MOTIVO: DEVIDO A MOTIVOS DE TRABALHO";"0";"Anulação da matrícula  Motivo";"ANULACAO";"Trabalho";"INCOMPATIBILIDADE COM ATIVIDADE PROFISSIONAL"
"41814";"2020/2021";"NULL";"Deferido";"NULL";"Despachado";"ANULACAO DA MATRICULA MOTIVO: NAO PRETENDO MAIS EFETUAR A LICENCIATURA";"0";"anulação da matricula Motivo";"ANULACAO";"Outro";"OUTROS ACIMA NAO IDENTIFICADOS"
"41768";"2020/2021";"NULL";"Deferido";"NULL";"Despachado";"REQUERIMENTO PARA ANULACAO DA LICENCIATURA DE GESTAO  MOTIVO: EM VIRTUDE DE TER EFETUADO A MATRICULA EM 29 DE JANEIRO DE 2021 NO CURSO DE MARKETING COM O CONSEQUENTE CANCELAMENTO DO CURSO DE GESTAO.";"0";"Requerimento para anulação da licenciatura de gestão   Motivo";"REQUERIMENTO";"Motivação Pessoal";"MOTIVACAO PESSOAL"
"43432";"2020/2021";"NULL";"Deferido";"NULL";"Despachado";"ANULACAO DA MATRICULA - DIREITO - ALUNO Nº43432 MOTIVO: COM ESTE REQUERIMENTO QUERO ANULAR A MATRICULA DO CURSO QUE FREQUENTO POIS NAO ME IDENTIFICO COM O MESMO. VOU MUDAR DE AREA E SENDO ASSIM ANULAR A MATRICULA E O MELHOR A FAZER. OBRIGADO";"0";"Anulação da matrícula - Direito - aluno nº43432 Motivo";"ANULACAO";"Motivação Pessoal";"MOTIVACAO PESSOAL"
"43191";"2020/2021";"NULL";"Deferido";"NULL";"Despachado";"PEDIDO DE ANULACAO DE MATRICULA MOTIVO: APOS A FREQUENCIA DO PRIMEIRO SEMESTRE, O SIGNATARIO CHEGOU A CONCLUSAO DE QUE A PRESENTE LICENCIATURA NAO E O QUE PRETENDE PARA O SEU FUTURO. ASSIM SENDO, REQUER A ANULACAO DA MATRICULA PARA QUE NO PROXIMO ANO LETIVO POSSA FREQUENTAR OUTRA LICENCIATURA NOUTRO ESTABELECIMENTO DE ENSINO";"0";"Pedido de anulação de matricula Motivo";"PEDIDO";"Mudança Instituição";"OPCAO POR OUTRA UNIVERSIDADE A QUE TAMBEM ME CANDIDATEI"
"43432";"2020/2021";"NULL";"Indeferido";"NULL";"Despachado";"ANULACAO MATRICULA - ALUNO N.43432 MOTIVO: COM ESTE REQUERIMENTO QUERO ANULAR A MATRICULA DO CURSO, POIS NAO ME IDENTIFICO COM O MESMO. OBRIGADO";"0";"Anulação Matrícula - aluno n.43432 Motivo";"ANULACAO";"Motivação Pessoal";"MOTIVACAO PESSOAL"
"41337";"2020/2021";"NULL";"Deferido";"NULL";"Despachado";"PEDIDO DE ANULACAO DA MATRICULA MOTIVO: BOA TARDE, EU JA TENTEI ENVIAR DOIS REQUERIMENTO, NAO SEI SE CHEGARAM A SER ENVIADOS MAS DE QUALQUER DAS FORMAS ENVIO OUTRA VEZ. INFELIZMENTE A MINHA MAE FICOU DESEMPREGADA EM FEVEREIRO E FIQUEI SEM FORMA DE PAGAR A PROPINA. EU COMECEI A TRABALHAR EM ABRIL MAS MESMO ASSIM O ESFORCO NAO E SUFICIENTE E O QUE GANHO VAI PARA DESPESAS. COM MUITA TRISTEZA MINHA VOU TER DE SUSPENDER ESTE SONHO, PELO MENOS POR AGORA. GOSTARIA DE SABER O QUE TERIA DE PAGAR E COMO. MUITO OBRIGADA POR ME TEREM ACOLHIDO TAO BEM. OS MELHORES CUMPRIMENTO.";"0";"Pedido de anulação da matricula Motivo";"PEDIDO";"Motivo financeiro";"MOTIVOS FINANCEIROS"
"43530";"2020/2021";"NULL";"Deferido";"NULL";"Despachado";"ANULACAO DE MATRICULA. MOTIVO: QUESTOES PARTICULARES.";"0";"Anulação de matrícula. Motivo";"ANULACAO";"Motivação Pessoal";"MOTIVACAO PESSOAL"
"43491";"2020/2021";"NULL";"Deferido";"NULL";"Despachado";"ANULACAO DE MATRICULA MOTIVO: MUDANCA DE CURSO/INSTITUICAO.";"0";"Anulação de matrícula Motivo";"ANULACAO";"Mudança de Curso";"NAO IDENTIFICACAO COM O CURSO"
"43532";"2020/2021";"NULL";"Deferido";"NULL";"Despachado";"ANULACAO DA MATRICULA MOTIVO: VENHO SOLICITAR QUE ME SEJA CONCEDIDO A ANULACAO DA MATRICULA UMA VEZ QUE ME ENCONTRO BASTANTE DOENTE. VOU SER OPERADA A UM NODULO NA TIROIDE E NAO SEI QUAL SERA O RESULTADO FINAL. POR ESSE MOTIVO PEDIA A MINHA ANULACAO DA MATRICULA E COMO SE TRATA DE DOENCA E NAO POR VONTADE PROPRIA GOSTARIA DE PEDIR A VOSSA COMPREENSAO E SE FOSSE POSSIVEL A NAO COBRANCA DA TAXA DE ANULACAO DA MESMA.";"0";"Anulação da matricula Motivo";"ANULACAO";"Saúde";"MOTIVOS DE SAUDE"
"42940";"2020/2021";"NULL";"Deferido";"NULL";"Despachado";"PEDIDO DE ANULACAO DE MATRICULA MOTIVO: MUDANCA DE CURSO";"0";"Pedido de anulação de matricula Motivo";"PEDIDO";"Mudança de Curso";"NAO IDENTIFICACAO COM O CURSO"
"42693";"2020/2021";"NULL";"Deferido";"NULL";"Despachado";"ANULACAO DA MATRICULA MOTIVO: BOA TARDE, JA FIZ UM REQUERIMENTO A FAZER ESTE PEDIDO NO ENTANTO COMO TINHA OUTRO ASSUNTO NO MESMO REQUERIMENTO A FACULDADE PEDIU-ME PARA FAZER OUTRO PARA SE TRATAR DOS ASSUNTOS SEPARADAMENTE. QUERIA ANULAR A MATRICULA PORQUE NAO ME IDENTIFIQUEI COM O CURSO E NAO TENCIONO CONTINUAR NA PORTUCALENSE PRO ANO NO NOVO CURSO . OBRIGADA CUMPRIMENTOS CAROLINA MARVAO 42693";"0";"Anulação da matrícula Motivo";"ANULACAO";"Motivação Pessoal";"MOTIVACAO PESSOAL"
"42565";"2020/2021";"NULL";"Deferido";"NULL";"Despachado";"ANULACAO DA MATRICULA DE ALUNA EXTERNA MOTIVO: NAO E O QUE PRETENDO SEGUIR PORTANTO VOU TROCAR PARA OUTRO CURSO, NO QUAL ME IDENTIFICO MAIS.";"0";"Anulação da matrícula de aluna externa Motivo";"ANULACAO";"Aluno externo";"ALUNO EXTERNO"
"43158";"2020/2021";"NULL";"Deferido";"NULL";"Despachado";"PEDIDO DE ANULACAO DA MATRICULA MOTIVO: MOTIVOS PESSOAIS";"0";"pedido de anulação da matrícula Motivo";"PEDIDO";"Motivação Pessoal";"MOTIVACAO PESSOAL"
"43829";"2021/2022";"NULL";"Deferido";"NULL";"Despachado";"CANCELAMENTO DE MATRICULA - MESTRADO EM GESTAO MOTIVO: GOSTARIA DE SOLICITAR A ANULACAO DA MATRICULA NO CURSO DE MESTRADO EM GESTAO PARA O QUAL FUI COLOCADO DEVIDO A MINHA IMPOSSIBILIDADE DE FREQUENTAR AS AULAS NO PERIODO.";"0";"Cancelamento de Matrícula - Mestrado em Gestão Motivo";"CANCELAMENTO";"Motivação Pessoal";"MOTIVACAO PESSOAL"
"42917";"2021/2022";"NULL";"Deferido";"NULL";"Despachado";"ANULACAO DE MATRICULA MOTIVO: MUDANCA DE PAR INSTITUICAO";"0";"Anulação de matrícula Motivo";"ANULACAO";"Mudança Instituição";"OPCAO POR OUTRA UNIVERSIDADE A QUE TAMBEM ME CANDIDATEI"
"42860";"2021/2022";"NULL";"Deferido";"NULL";"Despachado";"ANULACAO DE MATRICULA MOTIVO: SOLICITO A ANULACAO DA MINHA MATRICULA POR MOTIVOS DE MUDANCA DE INSTITUICAO DE ENSINO, BEM COMO O RESPETIVO REEMBOLSO DA PROPINA DE SETEMBRO, VISTO QUE NAO ESTOU A USUFRUIR DA MESMA.";"0";"Anulação de Matrícula Motivo";"ANULACAO";"Mudança Instituição";"OPCAO POR OUTRA UNIVERSIDADE A QUE TAMBEM ME CANDIDATEI"
"43136";"2021/2022";"NULL";"Deferido";"NULL";"Despachado";"ANULACAO DE MATRICULA MOTIVO: MUDANCA DE PAR INSTITUICAO.";"0";"Anulação de Matrícula Motivo";"ANULACAO";"Mudança Instituição";"OPCAO POR OUTRA UNIVERSIDADE A QUE TAMBEM ME CANDIDATEI"
"42890";"2021/2022";"NULL";"Deferido";"NULL";"Despachado";"ANULACAO DE MATRICULA ALUNO 42890 MOTIVO: FUI COLOCADO NOUTRA FACULDADE";"0";"Anulação de Matricula Aluno 42890 Motivo";"ANULACAO";"Mudança Instituição";"OPCAO POR OUTRA UNIVERSIDADE A QUE TAMBEM ME CANDIDATEI"
"42898";"2021/2022";"NULL";"Deferido";"NULL";"Despachado";"ANULACAO DA MATRICULA MOTIVO: EU, DIOGO BORDONHOS, VENHO POR ESTE MEIO SOLICITAR A ANULACAO DA MATRICULA UMA VEZ QUE INGRESSEI POR TRANSFERENCIA EM OUTRO ESTABELECIMENTO PUBLICO.";"0";"Anulação da matricula Motivo";"ANULACAO";"Mudança Instituição";"OPCAO POR OUTRA UNIVERSIDADE A QUE TAMBEM ME CANDIDATEI"
"42997";"2021/2022";"NULL";"Deferido";"NULL";"Despachado";"ANULACAO DA MATRICULA MOTIVO: NECESSITO DE ANULAR A MATRICULA, POIS, INSCREVI-ME NUM CONCURSO DE MUDANCA DE INSTITUICAO E FIQUEI COLOCADO.";"0";"Anulação da matrícula  Motivo";"ANULACAO";"Mudança Instituição";"OPCAO POR OUTRA UNIVERSIDADE A QUE TAMBEM ME CANDIDATEI"
"42762";"2021/2022";"NULL";"Deferido";"NULL";"Despachado";"ANULACAO DA MATRICULA. MOTIVO: NAO ESTOU MAIS INTERESSADO EM CONTINUAR NESTA INSTITUICAO.";"0";"Anulação da matrícula. Motivo";"ANULACAO";"Motivação Pessoal";"MOTIVACAO PESSOAL"
"40034";"2021/2022";"NULL";"Deferido";"NULL";"Despachado";"ANULACAO DE MATRICULA MOTIVO: EU SOU ALUNA EXTERNA NA LICENCIATURA DE DIREITO E VENHO POR ESTE MEIO PEDIR A ANULACAO DA INSCRICAO E O RESPETIVO REEMBOLSO DA MESMA.";"0";"Anulação de matrícula  Motivo";"ANULACAO";"Aluno externo";"ALUNO EXTERNO"
"42641";"2020/2021";"NULL";"Deferido";"NULL";"Despachado";"CANCELAR O CONTRATO COM A UNIVERSIDADE MOTIVO: POR MOTIVOS PESSOAIS";"0";"Cancelar o contrato com a universidade Motivo";"CANCELAR";"Motivação Pessoal";"MOTIVACAO PESSOAL"
"44813";"2022/2023";"9";"Deferido";"Outros acima não identificados";"Despachado";"NAO OBTENCAO DO VISTO MOTIVO: SAUDACOES!VENHO ATRAVES DESTA SOLICITAR A ANULACAO DA MATRICULA FEITA NO ANO LECTIVO 2022/2023 E SOLICITAR A NOVA PARA O ANO LECTIVO SEGUINTE. VALE RESSALVAR QUE DEVIDO A MOROSIDADE DOS PROCEDIMENTOS CUNSULAR SO OBTIVE O VISTO EM JUNHO E PRETENDO VIAJAR NA PRIMEIRA SEMANA DO PROXIMO MES. E PARA O EFEITO DE CUMPRIMENTOS BUROCRATICOS EXIGIDOS NO AEROPORTO DE LISBOA VOU PRECISAR APRESENTAR A DECLARACAO DE MATRICULA ACTUALIZADA JUNTO AS AUTORIDADES. &#13; AGRADECO O ATENDIMENTO PACIENTE DE SEMPRE";"0";""Não  obtenção  do visto Motivo";""NAO";"Outros acima não identificados";"OUTROS ACIMA NAO IDENTIFICADOS"
"48894";"2023/2024";"2";"Deferido";"Opção por outra Universidade a que também me candidatei";"Despachado";"OUTRA OPCAO DE FACULDADE MOTIVO: RECEBI RECENTEMENTE A NOTICIA QUE TINHA ENTRADO NA UNIVERSIDADE PUBLICA E OPTEI POR ESCOLHER A MESMA.";"0";"Outra opção de faculdade Motivo";"OUTRA";"Opção por outra Universidade a que também me candidatei";"OPCAO POR OUTRA UNIVERSIDADE A QUE TAMBEM ME CANDIDATEI"
"50300";"2023/2024";"9";"Deferido";"Outros acima não identificados";"Despachado";"REQUERIMENTO COM A INTENCAO DE ANULAR A INSCRICAO MOTIVO: NAO PRETENDENDO PARTICIPAR NO DADO CURSO, QUERO CANCELAR A INSCRICAO QUE FIZ PARA ESTE ANO (2023/2024).";"0";"Requerimento com a intenção de anular a inscrição Motivo";"REQUERIMENTO";"Outros acima não identificados";"OUTROS ACIMA NAO IDENTIFICADOS"
"48508";"2023/2024";"2";"Deferido";"Opção por outra Universidade a que também me candidatei";"Despachado";"PEDIDO DE ANULACAO DE MATRICULA MOTIVO: ESTOU A REALIZAR ESTE PEDIDO, POIS ENTREI EM ENGENHARIA INFORMATICA NO ISEP, ONDE JA ERA ALUNO NO ANO PASSADO EM ENGENHARIA MECANICA. &#13; DESTE MODO, PRETENDIA PORTANTO INGRESSAR NO MESMO E ANULAR A MINHA PRESENTE MATRICULA NA UNIVERSIDADE PORTUCALENSE, TENDO EM CONTA QUE FIQUEI NO COMPROMISSO DE ANULAR A MESMA, APOS OS RESULTADOS DAS CANDIDATURAS AO ENSINO PUBLICO, CASO ENTRASSE NO INSTITUTO QUE PRETENDIA.";"0";""Pedido de Anulação de Matrícula Motivo";""PEDIDO";"Opção por outra Universidade a que também me candidatei";"OPCAO POR OUTRA UNIVERSIDADE A QUE TAMBEM ME CANDIDATEI"
